saish15@n073-21a:~/OpenFlowHeaderFields$ sudo python openflowheaderfields.py 
 cookie=0x0, duration=14.554s, table=0, n_packets=14, n_bytes=1132, actions=NORMAL
 cookie=0x0, duration=11.719s, table=0, n_packets=0, n_bytes=0, ip actions=NORMAL
 cookie=0x0, duration=9.292s, table=0, n_packets=0, n_bytes=0, dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=0.044s, table=0, n_packets=0, n_bytes=0, actions=NORMAL
 cookie=0x0, duration=14.494s, table=0, n_packets=0, n_bytes=0, in_port="s1-eth1" actions=NORMAL
 cookie=0x0, duration=14.490s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef actions=NORMAL
 cookie=0x0, duration=0.207s, table=0, n_packets=0, n_bytes=0, dl_src=00:00:00:00:00:01 actions=NORMAL
 cookie=0x0, duration=0.024s, table=0, n_packets=0, n_bytes=0, dl_vlan=0 actions=NORMAL
 cookie=0x0, duration=0.003s, table=0, n_packets=0, n_bytes=0, dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=12.836s, table=0, n_packets=0, n_bytes=0, ip,dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=11.807s, table=0, n_packets=0, n_bytes=0, ip,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=11.757s, table=0, n_packets=0, n_bytes=0, ip,nw_src=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=12.097s, table=0, n_packets=0, n_bytes=0, icmp actions=NORMAL
 cookie=0x0, duration=11.961s, table=0, n_packets=0, n_bytes=0, tcp actions=NORMAL
 cookie=0x0, duration=11.915s, table=0, n_packets=0, n_bytes=0, ip,in_port="s1-eth1" actions=NORMAL
 cookie=0x0, duration=11.875s, table=0, n_packets=0, n_bytes=0, ip,metadata=0x1234567890abcdef actions=NORMAL
 cookie=0x0, duration=11.781s, table=0, n_packets=0, n_bytes=0, ip,dl_src=00:00:00:00:00:01 actions=NORMAL
 cookie=0x0, duration=11.736s, table=0, n_packets=0, n_bytes=0, ip,nw_tos=8 actions=NORMAL
 cookie=0x0, duration=11.706s, table=0, n_packets=0, n_bytes=0, ip,dl_vlan=0 actions=NORMAL
 cookie=0x0, duration=11.683s, table=0, n_packets=0, n_bytes=0, ip,dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=9.528s, table=0, n_packets=0, n_bytes=0, in_port="s1-eth1",dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=9.487s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef,dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=9.390s, table=0, n_packets=0, n_bytes=0, dl_vlan_pcp=3,dl_src=00:00:00:00:00:01 actions=NORMAL
 cookie=0x0, duration=9.308s, table=0, n_packets=0, n_bytes=0, dl_vlan=0,dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=9.284s, table=0, n_packets=0, n_bytes=0, dl_vlan_pcp=3,dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=0.811s, table=0, n_packets=0, n_bytes=0, in_port="s1-eth1" actions=NORMAL
 cookie=0x0, duration=0.606s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef actions=NORMAL
 cookie=0x0, duration=13.291s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef,in_port="s1-eth1" actions=NORMAL
 cookie=0x0, duration=0.908s, table=0, n_packets=0, n_bytes=0, in_port="s1-eth1",dl_src=00:00:00:00:00:01 actions=NORMAL
 cookie=0x0, duration=0.828s, table=0, n_packets=0, n_bytes=0, in_port="s1-eth1",dl_vlan=0 actions=NORMAL
 cookie=0x0, duration=0.803s, table=0, n_packets=0, n_bytes=0, in_port="s1-eth1",dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=0.706s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef,dl_src=00:00:00:00:00:01 actions=NORMAL
 cookie=0x0, duration=0.624s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef,dl_vlan=0 actions=NORMAL
 cookie=0x0, duration=0.599s, table=0, n_packets=0, n_bytes=0, metadata=0x1234567890abcdef,dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=0.223s, table=0, n_packets=0, n_bytes=0, dl_vlan=0,dl_src=00:00:00:00:00:01 actions=NORMAL
 cookie=0x0, duration=0.199s, table=0, n_packets=0, n_bytes=0, dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=0.016s, table=0, n_packets=0, n_bytes=0, dl_vlan=0,dl_dst=00:00:00:00:00:02 actions=NORMAL
 cookie=0x0, duration=12.864s, table=0, n_packets=0, n_bytes=0, ip,dl_vlan_pcp=3,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=12.857s, table=0, n_packets=0, n_bytes=0, ip,dl_vlan_pcp=3,nw_src=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=12.886s, table=0, n_packets=0, n_bytes=0, icmp,dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=12.840s, table=0, n_packets=0, n_bytes=0, tcp,dl_vlan_pcp=3 actions=NORMAL
 cookie=0x0, duration=12.876s, table=0, n_packets=0, n_bytes=0, ip,in_port="s1-eth1",dl_vlan_pcp=3 actions=NORMAL
